         16028 function calls (15734 primitive calls) in 0.221 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     31/1    0.000    0.000    0.221    0.221 {built-in method builtins.exec}
        1    0.000    0.000    0.221    0.221 test_calculate_codon_frequencies.py:1(<module>)
     41/5    0.000    0.000    0.194    0.039 <frozen importlib._bootstrap>:1349(_find_and_load)
     41/5    0.000    0.000    0.193    0.039 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     40/5    0.000    0.000    0.170    0.034 <frozen importlib._bootstrap>:911(_load_unlocked)
     30/5    0.000    0.000    0.170    0.034 <frozen importlib._bootstrap_external>:1020(exec_module)
    85/10    0.000    0.000    0.168    0.017 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.089    0.089 __init__.py:1(<module>)
       41    0.000    0.000    0.082    0.002 <frozen importlib._bootstrap>:1240(_find_spec)
       33    0.000    0.000    0.059    0.002 <frozen importlib._bootstrap_external>:1551(find_spec)
       33    0.030    0.001    0.059    0.002 <frozen importlib._bootstrap_external>:1522(_get_spec)
  115/113    0.025    0.000    0.051    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.048    0.048 subprocess.py:1(<module>)
        1    0.000    0.000    0.034    0.034 result.py:1(<module>)
        1    0.000    0.000    0.032    0.032 traceback.py:1(<module>)
       30    0.000    0.000    0.031    0.001 <frozen importlib._bootstrap_external>:1093(get_code)
        1    0.000    0.000    0.029    0.029 shutil.py:1(<module>)
       30    0.022    0.001    0.029    0.001 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
       89    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        1    0.000    0.000    0.027    0.027 case.py:1(<module>)
        1    0.000    0.000    0.027    0.027 main.py:66(__init__)
        1    0.000    0.000    0.026    0.026 bz2.py:1(<module>)
        1    0.000    0.000    0.026    0.026 difflib.py:1(<module>)
       13    0.025    0.002    0.026    0.002 <frozen abc>:105(__new__)
       32    0.024    0.001    0.025    0.001 <frozen importlib._bootstrap_external>:1619(_get_spec)
        1    0.000    0.000    0.025    0.025 main.py:1(<module>)
        1    0.000    0.000    0.024    0.024 threading.py:1(<module>)
      107    0.022    0.000    0.022    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       40    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       40    0.017    0.000    0.017    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.017    0.017 selectors.py:1(<module>)
        1    0.000    0.000    0.016    0.016 main.py:115(parseArgs)
        1    0.000    0.000    0.015    0.015 main.py:156(_initArgParsers)
        3    0.000    0.000    0.013    0.004 argparse.py:1779(__init__)
        1    0.000    0.000    0.012    0.012 main.py:244(runTests)
        1    0.000    0.000    0.012    0.012 runner.py:224(run)
        4    0.000    0.000    0.011    0.003 runner.py:24(writeln)
        8    0.011    0.001    0.011    0.001 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.009    0.009 main.py:210(_getDiscoveryArgParser)
        1    0.000    0.000    0.008    0.008 runner.py:142(printErrors)
       30    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.005    0.005 main.py:161(_getParentArgParser)
        8    0.000    0.000    0.005    0.001 gettext.py:642(gettext)
        8    0.000    0.000    0.005    0.001 gettext.py:602(dgettext)
        8    0.002    0.000    0.005    0.001 gettext.py:543(translation)
      740    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.004    0.004 signal.py:1(<module>)
        3    0.000    0.000    0.004    0.001 enum.py:898(_convert_)
       68    0.000    0.000    0.004    0.000 <frozen posixpath>:42(_get_sep)
        4    0.000    0.000    0.004    0.001 <frozen posixpath>:166(basename)
        3    0.003    0.001    0.004    0.001 enum.py:1753(convert_class)
       33    0.003    0.000    0.003    0.000 argparse.py:1709(_add_action)
        2    0.000    0.000    0.003    0.002 argparse.py:1539(_add_container_actions)
        8    0.000    0.000    0.003    0.000 gettext.py:488(find)
       46    0.000    0.000    0.002    0.000 __init__.py:330(_compile)
       45    0.000    0.000    0.002    0.000 __init__.py:287(compile)
        6    0.000    0.000    0.002    0.000 _compiler.py:743(compile)
       17    0.000    0.000    0.002    0.000 argparse.py:1454(add_argument)
       64    0.002    0.000    0.002    0.000 <frozen posixpath>:72(join)
      556    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     10/8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.001    0.001 tempfile.py:1(<module>)
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
        3    0.000    0.000    0.001    0.000 {built-in method builtins.__import__}
       41    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
      223    0.001    0.000    0.001    0.000 {built-in method posix.stat}
       50    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
        6    0.000    0.000    0.001    0.000 _compiler.py:576(_code)
        1    0.000    0.000    0.001    0.001 main.py:199(_getMainArgParser)
       17    0.000    0.000    0.001    0.000 argparse.py:2627(_get_formatter)
      159    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        5    0.000    0.000    0.001    0.000 __init__.py:358(namedtuple)
       17    0.000    0.000    0.001    0.000 argparse.py:173(__init__)
       60    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
     20/6    0.000    0.000    0.001    0.000 _compiler.py:37(_compile)
        6    0.000    0.000    0.001    0.000 _parser.py:970(parse)
       30    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.001    0.001 _colorize.py:1(<module>)
        9    0.000    0.000    0.001    0.000 argparse.py:1369(__init__)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
      8/6    0.000    0.000    0.001    0.000 _parser.py:451(_parse_sub)
       62    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
        1    0.000    0.000    0.001    0.001 argparse.py:1(<module>)
      9/7    0.000    0.000    0.001    0.000 _parser.py:511(_parse)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1318(create_module)
        2    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
        3    0.000    0.000    0.001    0.000 enum.py:498(__new__)
       50    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        9    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
       16    0.000    0.000    0.000    0.000 gettext.py:231(_expand_lang)
      107    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0xa05020}
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       30    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1911(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1921(parse_known_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1924(_parse_known_args2)
       17    0.000    0.000    0.000    0.000 shutil.py:1439(get_terminal_size)
       64    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
     1172    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1962(_parse_known_args)
      644    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:2134(consume_positionals)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       16    0.000    0.000    0.000    0.000 locale.py:381(normalize)
        6    0.000    0.000    0.000    0.000 argparse.py:1505(add_argument_group)
       67    0.000    0.000    0.000    0.000 <frozen os>:712(__getitem__)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        1    0.000    0.000    0.000    0.000 argparse.py:2321(_match_arguments_partial)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        6    0.000    0.000    0.000    0.000 argparse.py:1687(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:164(match)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      693    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
  744/723    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       33    0.000    0.000    0.000    0.000 argparse.py:1515(_add_action)
        8    0.000    0.000    0.000    0.000 locale.py:347(_replace_encoding)
       33    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
      137    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      593    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      376    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
       79    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       17    0.000    0.000    0.000    0.000 argparse.py:1890(_add_action)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
